Source | Destination | Message Type | Message Length | TimeStamp
6474	|	8000	|	SYN 		|		6		|	2022-11-22 01:18:13.911031
6819	|	6474	|	SYN/ACK 	|		6		|	2022-11-22 01:18:13.911031
6474	|	8000	|	ACK 		|		6		|	2022-11-22 01:18:13.912007
5035	|	6819	|	DATA		|		10		|	2022-11-22 01:18:15.912299
6819	|	5035	|	DATA		|		10		|	2022-11-22 01:18:16.913763
5035	|	6819	|	DATA		|		10		|	2022-11-22 01:18:17.114500
6819	|	5035	|	DATA		|		10		|	2022-11-22 01:18:17.114500
5035	|	6819	|	DATA		|		10		|	2022-11-22 01:18:17.314516
6819	|	5035	|	DATA		|		10		|	2022-11-22 01:18:17.314516
5035	|	6819	|	DATA		|		10		|	2022-11-22 01:18:17.515965
6819	|	5035	|	DATA		|		10		|	2022-11-22 01:18:17.515965
5035	|	6819	|	DATA		|		10		|	2022-11-22 01:18:17.717637
6819	|	5035	|	DATA		|		10		|	2022-11-22 01:18:17.717637
5035	|	6819	|	DATA		|		10		|	2022-11-22 01:18:17.917638
6819	|	5035	|	DATA		|		10		|	2022-11-22 01:18:17.917638
5035	|	6819	|	DATA		|		10		|	2022-11-22 01:18:18.127355
6819	|	5035	|	DATA		|		10		|	2022-11-22 01:18:18.131261
5035	|	6819	|	DATA		|		10		|	2022-11-22 01:18:18.343217
6819	|	5035	|	DATA		|		10		|	2022-11-22 01:18:18.343217
5035	|	6819	|	DATA		|		10		|	2022-11-22 01:18:18.544394
6819	|	5035	|	DATA		|		10		|	2022-11-22 01:18:18.544394
5035	|	6819	|	DATA		|		10		|	2022-11-22 01:18:18.745572
6819	|	5035	|	DATA		|		10		|	2022-11-22 01:18:18.745572
5035	|	6819	|	DATA		|		10		|	2022-11-22 01:18:18.946749
6819	|	5035	|	DATA		|		10		|	2022-11-22 01:18:18.947725
5035	|	6819	|	DATA		|		10		|	2022-11-22 01:18:19.147927
6819	|	5035	|	DATA		|		10		|	2022-11-22 01:18:19.147927
5942	|	8000	|	SYN 		|		6		|	2022-11-22 01:18:19.198238
7821	|	5942	|	SYN/ACK 	|		6		|	2022-11-22 01:18:19.198238
5942	|	8000	|	ACK 		|		6		|	2022-11-22 01:18:19.199216
5035	|	6819	|	DATA		|		10		|	2022-11-22 01:18:19.348162
6819	|	5035	|	DATA		|		10		|	2022-11-22 01:18:19.348162
5035	|	6819	|	DATA		|		10		|	2022-11-22 01:18:19.549949
6819	|	5035	|	DATA		|		10		|	2022-11-22 01:18:19.549949
5035	|	6819	|	DATA		|		10		|	2022-11-22 01:18:19.751673
